Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
water quality scientist,healthcare,decreasing,high,80585.57,associate degree,10,5953,1982,7.97,61.51,usa,66.18
arts development officer,manufacturing,increasing,low,32072.19,phd,3,8627,9719,89.51,67.59,india,41.26
garment/textile technologist,healthcare,decreasing,low,37766.59,phd,16,2809,3618,36.1,84.8,brazil,32.06
interpreter,it,decreasing,low,140481.58,bachelor’s degree,1,8121,1320,21.34,60.54,australia,43.96
"scientist, audiological",retail,increasing,low,52021.05,associate degree,2,177,2706,80.33,96.75,usa,59.33
"engineer, agricultural",healthcare,decreasing,moderate,82895.14,bachelor’s degree,18,8167,4743,45.55,4.89,canada,30.24
energy engineer,healthcare,decreasing,low,130319.99,bachelor’s degree,18,7124,5085,48.51,17.39,canada,46.49
travel agency manager,manufacturing,decreasing,low,107427.32,associate degree,14,7346,854,6.32,78.62,australia,55.15
tax inspector,healthcare,increasing,high,117569.29,associate degree,14,1579,2766,36.17,71.81,usa,45.79
theatre stage manager,finance,increasing,high,59226.43,high school,3,4909,5652,30.57,56.04,uk,58.29
private music teacher,it,increasing,moderate,42645.94,high school,14,2202,218,67.41,14.67,australia,55.3
interpreter,finance,decreasing,high,42818.28,master’s degree,17,8400,9242,79.89,29.64,brazil,64.8
commercial horticulturist,entertainment,increasing,high,136714.57,master’s degree,14,3430,9102,65.04,5.79,brazil,64.15
glass blower/designer,education,decreasing,moderate,33510.6,high school,10,2809,5367,83.0,44.83,canada,38.84
english as a second language teacher,retail,decreasing,high,101660.61,master’s degree,18,9188,7272,93.26,14.07,canada,42.58
barista,transportation,increasing,high,87758.61,phd,5,6098,9581,84.72,30.57,india,63.19
web designer,it,decreasing,high,83382.12,associate degree,13,4407,8508,67.17,53.7,india,24.74
field trials officer,finance,increasing,low,89495.82,associate degree,14,6743,5562,0.98,69.99,india,63.26
health service manager,education,decreasing,moderate,147201.06,master’s degree,19,5987,183,76.31,92.62,china,50.57
arts administrator,it,decreasing,low,139241.62,phd,17,5326,9702,48.11,43.64,uk,54.87
product/process development scientist,manufacturing,decreasing,low,76270.21,phd,9,8789,4199,74.23,24.81,brazil,27.79
furniture designer,it,increasing,moderate,64875.13,master’s degree,11,3973,7678,12.23,71.8,germany,49.4
"engineer, manufacturing",entertainment,decreasing,low,100743.16,bachelor’s degree,15,9725,8151,10.17,59.2,germany,20.56
chief operating officer,transportation,decreasing,high,109662.5,high school,16,879,4327,15.32,48.36,uk,65.6
"buyer, retail",retail,decreasing,moderate,141177.94,high school,13,987,549,95.26,76.95,brazil,21.22
radiation protection practitioner,healthcare,increasing,moderate,43110.5,bachelor’s degree,11,3006,3113,91.75,82.74,usa,45.31
geochemist,manufacturing,increasing,moderate,133412.42,master’s degree,7,4820,1099,18.23,31.37,china,43.5
public house manager,manufacturing,increasing,low,139039.88,master’s degree,16,2198,5582,34.56,57.32,uk,36.68
quarry manager,healthcare,increasing,moderate,84614.04,master’s degree,11,1577,2202,70.2,58.26,australia,54.64
social researcher,transportation,decreasing,high,104806.01,master’s degree,1,322,2759,84.17,17.27,india,23.19
fast food restaurant manager,it,decreasing,high,137104.75,bachelor’s degree,4,5181,2164,80.63,69.93,canada,39.39
"scientist, research (medical)",manufacturing,increasing,high,109052.15,high school,9,5583,6079,64.16,48.73,china,63.91
tree surgeon,manufacturing,increasing,high,53827.76,bachelor’s degree,0,268,4767,12.67,77.03,india,77.11
"scientist, research (physical sciences)",it,increasing,moderate,52463.18,associate degree,12,7697,8858,57.14,48.14,australia,68.76
armed forces technical officer,transportation,increasing,low,35856.47,master’s degree,7,1963,4879,9.27,70.66,china,24.05
engineering geologist,manufacturing,decreasing,high,33181.73,high school,16,2323,8189,97.04,9.1,germany,75.64
haematologist,entertainment,decreasing,high,109179.71,associate degree,2,2175,5312,99.42,85.48,canada,33.47
"merchandiser, retail",education,decreasing,moderate,110417.53,bachelor’s degree,14,1408,1571,53.49,47.96,india,50.19
insurance underwriter,finance,decreasing,low,63939.31,phd,16,1070,3513,61.16,73.42,germany,70.08
"horticulturist, commercial",education,increasing,low,116617.95,high school,15,6120,8235,2.09,30.8,canada,76.09
youth worker,transportation,decreasing,high,30438.77,associate degree,14,7614,2566,33.13,82.73,brazil,43.14
heritage manager,healthcare,increasing,low,66323.84,high school,14,4867,148,48.62,6.63,china,23.15
tax adviser,healthcare,increasing,moderate,59340.54,master’s degree,17,180,3896,97.42,42.94,usa,70.6
"merchandiser, retail",retail,decreasing,high,56251.11,high school,6,9623,4913,36.52,11.4,canada,27.62
"buyer, retail",transportation,decreasing,low,39005.89,associate degree,3,3472,3237,59.63,14.84,uk,44.84
"editor, magazine features",transportation,increasing,high,70179.54,bachelor’s degree,11,5604,9105,3.88,89.42,china,72.71
"engineer, land",manufacturing,decreasing,high,44024.35,associate degree,9,3421,8082,3.5,20.32,china,64.54
therapeutic radiographer,transportation,decreasing,high,133341.22,high school,18,6142,9526,98.94,98.41,india,65.96
art gallery manager,entertainment,decreasing,moderate,118330.06,master’s degree,5,3919,6283,13.48,37.77,brazil,65.13
chemical engineer,retail,increasing,low,110567.27,bachelor’s degree,13,2544,8202,21.74,99.49,uk,43.57
recruitment consultant,retail,decreasing,moderate,96000.12,master’s degree,13,9338,3906,97.16,19.83,australia,60.32
psychotherapist,finance,decreasing,high,59488.07,bachelor’s degree,4,8495,6720,26.34,6.71,uk,76.18
"therapist, sports",entertainment,decreasing,high,74992.08,associate degree,10,2868,551,74.68,96.42,uk,73.74
"production assistant, television",entertainment,increasing,moderate,47913.86,phd,9,1598,2155,23.04,77.0,germany,20.91
make,healthcare,decreasing,low,121712.13,associate degree,15,1437,9457,52.99,38.21,china,72.0
advertising copywriter,manufacturing,decreasing,low,109349.89,bachelor’s degree,16,911,167,33.16,79.07,uk,57.49
"therapist, drama",manufacturing,increasing,low,57608.08,phd,11,5348,7545,54.56,47.13,usa,24.76
community education officer,entertainment,increasing,high,74167.69,phd,15,6059,5728,71.86,7.07,usa,59.11
"programmer, multimedia",transportation,increasing,high,134288.1,bachelor’s degree,5,6978,3800,21.88,24.21,brazil,79.09
midwife,education,increasing,high,113600.33,high school,4,146,4944,56.71,64.25,germany,49.22
retail banker,it,decreasing,low,99164.03,bachelor’s degree,12,9531,4409,1.3,93.7,uk,63.57
actor,manufacturing,increasing,low,125854.54,bachelor’s degree,2,8143,9317,94.45,60.53,india,30.85
marketing executive,it,decreasing,low,55270.27,associate degree,13,8584,3250,30.81,80.8,india,43.33
seismic interpreter,entertainment,increasing,low,56895.11,bachelor’s degree,12,1492,8251,32.67,27.26,germany,77.41
"designer, furniture",education,increasing,moderate,71461.49,phd,6,7586,830,66.55,35.39,brazil,52.0
plant breeder/geneticist,manufacturing,decreasing,moderate,30039.04,high school,19,8005,685,86.03,24.11,india,35.12
colour technologist,retail,decreasing,high,131052.62,associate degree,17,3820,6422,0.18,5.23,australia,56.58
police officer,it,increasing,moderate,48045.2,phd,17,7472,496,5.43,73.56,germany,33.83
contracting civil engineer,it,decreasing,moderate,56343.63,master’s degree,6,8732,6476,96.59,59.45,china,47.58
industrial/product designer,manufacturing,decreasing,high,61271.87,master’s degree,7,6211,1357,43.7,92.33,india,51.22
media buyer,education,increasing,high,90622.03,master’s degree,14,2046,9692,97.29,87.1,uk,71.22
public librarian,healthcare,increasing,low,76144.68,bachelor’s degree,15,393,195,41.18,22.59,china,48.34
waste management officer,education,increasing,low,54825.85,associate degree,20,6167,4794,37.71,41.88,india,21.21
hospital doctor,manufacturing,decreasing,low,67214.27,phd,7,3698,2914,53.26,17.34,australia,42.74
microbiologist,finance,decreasing,high,54244.16,high school,15,1030,3277,44.85,38.94,india,75.54
forest/woodland manager,education,decreasing,high,69862.77,bachelor’s degree,7,2237,3008,72.39,63.16,india,36.27
tefl teacher,manufacturing,increasing,low,78799.95,high school,18,6822,4087,46.44,35.45,germany,33.57
patent examiner,retail,increasing,high,143307.05,master’s degree,17,4082,8388,37.99,12.92,china,55.07
building control surveyor,it,decreasing,low,117650.81,bachelor’s degree,6,1823,9752,21.75,21.02,brazil,70.08
press photographer,transportation,decreasing,high,37914.86,associate degree,3,6943,5887,12.78,77.25,india,22.24
land/geomatics surveyor,manufacturing,increasing,moderate,63314.13,phd,19,5289,5552,76.84,14.9,canada,48.47
facilities manager,it,increasing,moderate,136417.48,master’s degree,16,3878,7464,84.56,35.0,china,67.84
"scientist, marine",education,decreasing,low,145545.06,phd,11,1905,3194,53.66,17.47,usa,55.07
clothing/textile technologist,manufacturing,increasing,low,117084.38,bachelor’s degree,20,9771,2719,50.15,42.22,germany,37.69
"surveyor, rural practice",transportation,increasing,high,104114.51,high school,12,9844,2907,15.52,89.35,brazil,48.72
commissioning editor,it,increasing,low,147461.94,high school,5,2527,4540,45.6,34.1,canada,45.58
higher education lecturer,transportation,increasing,moderate,87909.69,master’s degree,14,3409,6668,65.45,4.08,china,32.33
materials engineer,transportation,increasing,high,108163.24,high school,16,726,3405,34.21,32.77,uk,32.24
"scientist, physiological",entertainment,increasing,moderate,52598.11,associate degree,5,9903,8930,85.96,50.05,china,21.43
"scientist, research (maths)",finance,increasing,moderate,70206.26,phd,1,2303,1956,52.5,56.55,australia,52.57
mental health nurse,transportation,decreasing,moderate,100081.42,high school,10,2765,5750,52.34,19.71,canada,35.5
civil service fast streamer,retail,increasing,moderate,31709.34,associate degree,15,4859,8101,26.84,80.95,india,42.73
chemical engineer,education,increasing,moderate,101885.36,associate degree,12,9606,4530,89.54,7.36,uk,42.37
"therapist, music",education,decreasing,low,63784.19,high school,6,959,5648,40.78,85.31,australia,41.87
arboriculturist,transportation,increasing,low,93441.7,master’s degree,15,8993,4662,14.98,31.51,usa,78.45
publishing rights manager,finance,increasing,low,142405.33,associate degree,19,7300,5239,48.42,98.08,china,73.8
"secretary, company",retail,increasing,high,52712.76,master’s degree,11,5997,3425,98.96,9.51,germany,61.76
manufacturing systems engineer,finance,decreasing,low,80853.89,phd,15,7787,9962,36.43,78.02,usa,68.76
environmental education officer,retail,decreasing,high,128302.51,high school,5,2529,6421,28.28,28.42,uk,77.77
quality manager,education,decreasing,moderate,92609.09,bachelor’s degree,17,1977,7371,28.67,68.34,canada,54.93
training and development officer,retail,decreasing,low,91724.85,high school,19,7881,785,61.45,52.55,brazil,68.73
ceramics designer,it,increasing,moderate,38900.13,master’s degree,14,2855,2177,71.19,31.03,uk,36.92
purchasing manager,education,increasing,high,105973.94,associate degree,8,8233,460,58.55,52.15,china,78.86
"scientist, audiological",education,increasing,moderate,109612.45,bachelor’s degree,15,9789,5246,9.6,58.38,australia,64.62
accommodation manager,education,increasing,high,122343.08,high school,4,2880,8492,30.36,97.02,australia,65.58
interpreter,retail,decreasing,high,142659.56,phd,7,3168,2645,85.68,93.62,australia,40.05
"designer, interior/spatial",finance,decreasing,low,34524.52,master’s degree,2,8214,8990,93.44,59.03,canada,60.58
"designer, graphic",manufacturing,increasing,high,42555.35,master’s degree,16,7024,4776,2.36,50.08,india,77.87
"psychologist, counselling",entertainment,decreasing,moderate,124926.94,phd,18,7021,4454,81.88,22.41,uk,50.3
chartered management accountant,healthcare,decreasing,moderate,131643.6,high school,16,6814,3940,19.36,54.07,china,35.87
public librarian,finance,decreasing,high,106591.2,high school,17,9299,1368,81.1,64.71,india,75.79
higher education careers adviser,transportation,increasing,low,50965.92,associate degree,13,2072,5743,74.79,79.14,usa,60.39
"research officer, government",finance,decreasing,low,90789.91,master’s degree,10,559,3885,2.96,62.68,uk,62.18
further education lecturer,healthcare,increasing,moderate,105420.8,associate degree,11,6336,3508,23.69,45.84,germany,67.09
educational psychologist,finance,increasing,moderate,116551.5,bachelor’s degree,2,430,1997,55.29,22.42,brazil,65.87
manufacturing systems engineer,manufacturing,increasing,low,97324.58,master’s degree,4,5496,960,21.99,92.68,germany,33.55
"engineer, biomedical",finance,increasing,moderate,47372.09,master’s degree,0,332,1316,88.8,43.65,canada,79.05
"scientist, product/process development",finance,increasing,low,118873.28,bachelor’s degree,5,3760,2937,82.5,87.47,germany,56.55
cytogeneticist,it,increasing,moderate,102650.47,associate degree,14,7710,5545,12.38,97.09,brazil,54.52
"surveyor, quantity",entertainment,increasing,high,68270.72,master’s degree,0,695,9439,57.95,31.0,brazil,24.51
waste management officer,education,decreasing,low,81789.45,associate degree,8,9007,5871,31.8,89.75,canada,65.96
ceramics designer,it,increasing,moderate,40346.01,master’s degree,4,8261,8651,32.52,92.03,usa,45.3
"scientist, research (life sciences)",transportation,decreasing,moderate,92150.08,master’s degree,9,9582,1146,10.56,2.59,uk,46.09
"engineer, structural",transportation,decreasing,low,135151.36,master’s degree,11,3419,5250,63.25,48.47,australia,31.07
local government officer,entertainment,decreasing,high,47525.71,master’s degree,11,5598,233,19.34,88.15,germany,64.71
"research officer, trade union",retail,increasing,high,98871.15,phd,17,2386,927,46.35,91.03,uk,44.51
insurance account manager,retail,increasing,low,79633.28,phd,6,1683,6897,11.53,96.48,india,69.64
"surveyor, insurance",healthcare,decreasing,high,64048.06,master’s degree,3,9924,5005,70.3,53.46,uk,77.99
"geologist, wellsite",education,increasing,low,113585.28,high school,3,1913,8462,3.75,19.13,germany,49.48
charity officer,retail,decreasing,low,43863.66,phd,16,124,6377,76.17,53.3,australia,25.07
"engineer, electrical",it,decreasing,high,44683.91,bachelor’s degree,7,5125,1932,52.33,99.98,australia,24.27
print production planner,healthcare,increasing,high,50603.11,master’s degree,18,5952,2375,72.0,33.2,germany,66.55
"editor, commissioning",manufacturing,decreasing,moderate,84285.87,master’s degree,1,2918,8872,11.6,93.16,usa,47.22
"development worker, international aid",retail,decreasing,moderate,122505.78,bachelor’s degree,2,6988,6640,97.11,79.01,usa,24.73
commercial horticulturist,healthcare,increasing,high,139291.0,master’s degree,14,9127,8698,77.2,74.61,uk,28.45
theatre director,healthcare,decreasing,high,94650.0,phd,16,3099,6151,22.74,39.45,uk,58.1
advertising art director,transportation,decreasing,low,148446.69,master’s degree,11,5114,1017,55.0,49.37,india,65.02
toxicologist,it,increasing,moderate,35206.52,master’s degree,1,9763,9588,76.23,37.68,australia,66.46
"nurse, adult",finance,decreasing,high,111968.1,master’s degree,7,6836,4332,31.48,36.98,india,22.93
"scientist, audiological",entertainment,increasing,low,101989.12,bachelor’s degree,6,2980,2299,10.51,42.71,uk,34.21
clinical cytogeneticist,manufacturing,decreasing,low,59391.35,master’s degree,15,3289,4503,19.57,72.74,china,40.05
chartered accountant,healthcare,increasing,low,63195.54,master’s degree,6,6422,4885,81.79,13.39,australia,73.51
"runner, broadcasting/film/video",healthcare,decreasing,low,122081.59,master’s degree,3,1703,6113,34.8,52.13,india,49.1
